GeneSymbol,T.8Nve #1,T.8Nve#2
AC005034.4,0,0
AC005034.5,0,0
AC005034.6,1,0
AC005034.7,0,0
AC005037.1,0,1
AC005037.2,0,1
AC005040.1,0,0
AC005040.2,0,0
AC005041.1,0,0
AC005041.2,0,0
AC005041.3,0,1
AC005041.4,0,2
AC005041.5,0,6
AC005042.1,0,0
AC005042.2,0,0
AC005045.1,0,0
AC005045.2,0,0
AC005046.1,0,0
AC005046.2,26,25
AC005049.1,0,0
AC005050.1,0,0
AC005050.2,0,0
AC005050.3,0,0
AC005052.1,0,0
AC005052.2,4,15
AC005062.1,0,5
AC005064.1,2,0
AC005064.2,0,0
AC005064.3,0,0
AC005066.1,0,0
AC005070.1,0,4
AC005070.2,1,0
AC005070.3,51,61
AC005071.1,0,3
AC005071.2,0,0
AC005072.1,10,17
AC005076.1,3,6
AC005076.2,1,0
AC005076.3,2,5
AC005077.1,0,0
AC005077.2,0,0
AC005077.3,1,0
AC005077.4,0,0
AC005081.1,0,0
AC005082.1,8,7
AC005082.2,0,0
AC005083.1,0,4
AC005084.1,0,2
AC005086.1,0,0
AC005086.2,14,5
AC005086.3,0,6
AC005086.4,2,0
AC005086.5,0,0
AC005088.1,1,0
AC005089.1,0,2
AC005090.1,0,0
AC005091.1,2,0
AC005094.1,0,0
AC005096.1,1,4
AC005099.1,0,15
AC005100.1,0,0
AC005100.2,0,0
AC005102.1,2,0
AC005104.1,0,9
AC005104.2,3,0
AC005104.3,0,0
AC005105.1,0,0
AC005144.1,1,0
AC005153.1,0,0
AC005154.1,2,10
AC005154.2,0,4
AC005154.3,0,0
AC005154.4,1,0
AC005154.5,0,0
AC005156.1,8,4
AC005160.1,0,1
AC005162.1,0,0
AC005162.2,0,1
AC005165.1,1,0
AC005165.2,0,0
AC005165.3,0,0
AC005176.1,0,0
AC005176.2,0,0
AC005178.1,0,0
AC005180.1,0,0
AC005180.2,2,0
AC005181.1,0,2
AC005183.1,4,8
AC005185.1,0,0
AC005189.1,0,0
AC005191.1,0,0
AC005197.1,0,0
AC005208.1,0,0
AC005209.1,0,0
AC005219.1,0,0
AC005220.1,0,0
AC005224.1,0,0
AC005224.2,33,51
AC005224.3,13,2
AC005225.1,1,3
AC005225.2,0,2
AC005225.3,0,0
AC005225.4,0,12
AC005229.1,0,0
AC005229.2,0,0
AC005229.3,0,0
AC005229.4,2,0
AC005229.5,0,0
AC005230.1,10,5
